class_id,accuracy,f1
0,0.05102040816326531,0.07936507936507936
1,0.18,0.27906976744186046
2,0.19,0.2878787878787879
3,0.91,0.629757785467128
4,0.04,0.07272727272727272
5,0.53,0.4076923076923077
6,0.69,0.30734966592427615
7,0.9431818181818182,0.3878504672897196
8,0.8585858585858586,0.4956268221574344
9,0.17,0.2595419847328244
10,0.8,0.6037735849056604
11,0.061855670103092786,0.11650485436893204
12,0.6,0.46153846153846156
13,0.04,0.07692307692307693
14,0.84,0.691358024691358
15,0.49,0.5355191256830601
16,0.53,0.5578947368421052
17,0.91,0.875
18,0.6767676767676768,0.7282608695652174
19,0.97,0.6488294314381271
20,0.51,0.5340314136125655
21,0.43,0.593103448275862
22,0.04,0.07547169811320754
23,0.36,0.5255474452554745
24,0.42,0.5637583892617449
25,0.87,0.7699115044247787
26,0.08,0.13008130081300814
27,0.43,0.41346153846153844
28,0.79,0.5505226480836237
29,0.9,0.7627118644067796
30,0.9191919191919192,0.5723270440251572
31,0.42,0.5562913907284768
32,0.29,0.44274809160305345
33,0.0,0.0
34,0.14606741573033707,0.19117647058823528
35,0.41,0.5189873417721519
36,0.0,0.0
