class_id,accuracy,f1
0,0.0,0.0
1,0.29,0.24369747899159663
2,0.39,0.41935483870967744
3,0.91,0.5083798882681564
4,0.0,0.0
5,0.9,0.27993779160186627
6,0.38,0.2714285714285714
7,0.25,0.2802547770700637
8,0.8585858585858586,0.5029585798816568
9,0.0,0.0
10,0.44,0.4971751412429379
11,0.08247422680412371,0.14814814814814814
12,0.01,0.019801980198019802
13,0.06,0.11320754716981132
14,0.37,0.4567901234567901
15,0.57,0.5135135135135135
16,0.09,0.16216216216216217
17,0.76,0.7835051546391752
18,0.9595959595959596,0.42792792792792794
19,0.89,0.322463768115942
20,0.03,0.057692307692307696
21,0.26,0.37410071942446044
22,0.8,0.6639004149377593
23,0.68,0.6415094339622641
24,0.01,0.0136986301369863
25,0.56,0.64
26,0.04,0.07207207207207207
27,0.56,0.47863247863247865
28,0.0,0.0
29,0.06,0.10619469026548672
30,0.35353535353535354,0.5
31,0.0,0.0
32,0.61,0.5495495495495496
33,0.22,0.24719101123595505
34,0.0,0.0
35,0.67,0.5877192982456141
36,0.0,0.0
