class_id,accuracy,f1
0,0.7653061224489796,0.7575757575757576
1,0.85,0.7522123893805309
2,0.38,0.5066666666666667
3,0.95,0.8878504672897196
4,0.76,0.8397790055248618
5,0.32,0.378698224852071
6,0.41,0.5256410256410257
7,0.9090909090909091,0.837696335078534
8,0.8383838383838383,0.8341708542713567
9,0.69,0.745945945945946
10,0.86,0.882051282051282
11,0.7422680412371134,0.72
12,0.94,0.9306930693069307
13,0.92,0.9387755102040817
14,0.99,0.9428571428571428
15,0.93,0.9538461538461539
16,0.86,0.900523560209424
17,1.0,0.9478672985781991
18,1.0,0.9753694581280788
19,0.98,0.9607843137254902
20,0.58,0.6010362694300518
21,0.93,0.93
22,0.95,0.9743589743589743
23,0.87,0.848780487804878
24,0.96,0.9795918367346939
25,0.98,0.9702970297029703
26,0.79,0.5962264150943396
27,0.67,0.6979166666666666
28,0.94,0.9215686274509803
29,0.98,0.9607843137254902
30,0.9595959595959596,0.9405940594059405
31,0.99,0.9658536585365853
32,0.81,0.8526315789473684
33,0.91,0.91
34,0.6292134831460674,0.5656565656565656
35,0.95,0.9090909090909091
36,0.99,0.9801980198019802
