scenario,labeled_fraction,threshold,labeled_samples,pseudo_samples,total_train_samples,test_accuracy,test_macro_f1,delta_acc_vs_baseline,delta_macro_f1_vs_baseline,model_path,curves_path,pseudo_labels_path
supervised_baseline,0.2,,736,0,736,0.8620877623330607,0.8607691971847804,0.0,0.0,results\models\baseline_20pct.pth,results\figures\training_curves_baseline_20pct.png,
pseudo_label_training,0.2,0.6,736,2382,3118,0.8819841918778959,0.8801665217275322,0.01989642954483517,0.01939732454275178,results\models\pseudo_20pct_thr_0p60.pth,results\figures\training_curves_pseudo_20pct_thr_0p60.png,results\pseudo_labels_20pct_thr_0p60.csv
pseudo_label_training,0.2,0.7,736,2127,2863,0.8773507767784138,0.8758604976962687,0.015263014445353051,0.015091300511488326,results\models\pseudo_20pct_thr_0p70.pth,results\figures\training_curves_pseudo_20pct_thr_0p70.png,results\pseudo_labels_20pct_thr_0p70.csv
pseudo_label_training,0.2,0.8,736,1811,2547,0.8773507767784138,0.8751526163846022,0.015263014445353051,0.014383419199821779,results\models\pseudo_20pct_thr_0p80.pth,results\figures\training_curves_pseudo_20pct_thr_0p80.png,results\pseudo_labels_20pct_thr_0p80.csv
pseudo_label_training,0.2,0.9,736,1301,2037,0.8770782229490325,0.8761534754801908,0.014990460615971757,0.015384278295410447,results\models\pseudo_20pct_thr_0p90.pth,results\figures\training_curves_pseudo_20pct_thr_0p90.png,results\pseudo_labels_20pct_thr_0p90.csv
pseudo_label_training,0.2,0.95,736,855,1591,0.8680839465794494,0.865134687463156,0.005996184246388703,0.004365490278375628,results\models\pseudo_20pct_thr_0p95.pth,results\figures\training_curves_pseudo_20pct_thr_0p95.png,results\pseudo_labels_20pct_thr_0p95.csv
supervised_baseline,0.1,,369,0,369,0.8446443172526574,0.8422947600913092,0.0,0.0,results\models\baseline_10pct.pth,results\figures\training_curves_baseline_10pct.png,
pseudo_label_training,0.1,0.6,369,2206,2575,0.8588171163804852,0.8528229685120684,0.014172799127827762,0.010528208420759189,results\models\pseudo_10pct_thr_0p60.pth,results\figures\training_curves_pseudo_10pct_thr_0p60.png,results\pseudo_labels_10pct_thr_0p60.csv
pseudo_label_training,0.1,0.7,369,1790,2159,0.8492777323521395,0.843809155367152,0.004633415099482119,0.0015143952758427393,results\models\pseudo_10pct_thr_0p70.pth,results\figures\training_curves_pseudo_10pct_thr_0p70.png,results\pseudo_labels_10pct_thr_0p70.csv
pseudo_label_training,0.1,0.8,369,1323,1692,0.8498228400109021,0.844578591617265,0.005178522758244708,0.002283831525955793,results\models\pseudo_10pct_thr_0p80.pth,results\figures\training_curves_pseudo_10pct_thr_0p80.png,results\pseudo_labels_10pct_thr_0p80.csv
pseudo_label_training,0.1,0.9,369,750,1119,0.8378304715181248,0.8330699965822066,-0.0068138457345325865,-0.009224763509102618,results\models\pseudo_10pct_thr_0p90.pth,results\figures\training_curves_pseudo_10pct_thr_0p90.png,results\pseudo_labels_10pct_thr_0p90.csv
pseudo_label_training,0.1,0.95,369,369,738,0.8353774870536931,0.8304648288496261,-0.009266830198964349,-0.011829931241683078,results\models\pseudo_10pct_thr_0p95.pth,results\figures\training_curves_pseudo_10pct_thr_0p95.png,results\pseudo_labels_10pct_thr_0p95.csv
supervised_baseline,0.05,,185,0,185,0.7923139820114473,0.7888655707724883,0.0,0.0,results\models\baseline_5pct.pth,results\figures\training_curves_baseline_5pct.png,
pseudo_label_training,0.05,0.6,185,1550,1735,0.8067593349686563,0.7975942539801332,0.014445352957208946,0.00872868320764486,results\models\pseudo_5pct_thr_0p60.pth,results\figures\training_curves_pseudo_5pct_thr_0p60.png,results\pseudo_labels_5pct_thr_0p60.csv
pseudo_label_training,0.05,0.7,185,1103,1288,0.8021259198691741,0.7896447181509413,0.009811937857726827,0.0007791473784529712,results\models\pseudo_5pct_thr_0p70.pth,results\figures\training_curves_pseudo_5pct_thr_0p70.png,results\pseudo_labels_5pct_thr_0p70.csv
pseudo_label_training,0.05,0.8,185,702,887,0.789315889888253,0.7783081158052919,-0.0029980921231943514,-0.0105574549671964,results\models\pseudo_5pct_thr_0p80.pth,results\figures\training_curves_pseudo_5pct_thr_0p80.png,results\pseudo_labels_5pct_thr_0p80.csv
